         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.002    0.000    5.214    0.074 __init__.py:1(<module>)
        1    0.000    0.000    1.746    1.746 packer.py:34(Pack)
        2    0.000    0.000    1.701    0.851 main.py:860(plotBoxAndItems)
  687/227    0.009    0.000    1.610    0.007 <frozen importlib._bootstrap>:1165(_find_and_load)
   528/70    0.005    0.000    1.606    0.023 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  226/222    0.001    0.000    1.594    0.007 __init__.py:108(import_module)
  228/222    0.001    0.000    1.594    0.007 <frozen importlib._bootstrap>:1192(_gcd_import)
  177/142    0.001    0.000    1.569    0.011 importers.py:23(__getattr__)
   509/69    0.006    0.000    1.545    0.022 <frozen importlib._bootstrap>:666(_load_unlocked)
   506/69    0.004    0.000    1.539    0.022 <frozen importlib._bootstrap_external>:934(exec_module)
        2    0.000    0.000    1.474    0.737 _figure.py:5(__init__)
        2    0.000    0.000    1.474    0.737 basedatatypes.py:410(__init__)
 1106/137    0.002    0.000    1.472    0.011 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   547/69    0.011    0.000    1.467    0.021 {built-in method builtins.exec}
   511/39    0.002    0.000    1.447    0.037 <frozen importlib._bootstrap>:1207(_handle_fromlist)
9494/5365    0.004    0.000    1.445    0.000 {built-in method builtins.hasattr}
     82/4    0.000    0.000    1.442    0.360 {built-in method builtins.__import__}
        1    0.000    0.000    1.428    1.428 offline.py:1(<module>)
     3855    0.003    0.000    1.427    0.000 optional_imports.py:14(get_module)
        1    0.000    0.000    1.425    1.425 tools.py:1(<module>)
        1    0.000    0.000    1.161    1.161 embed.py:1(<module>)
        2    0.001    0.000    0.939    0.469 interactiveshell.py:1(<module>)
      506    0.014    0.000    0.627    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.574    0.191 application.py:1(<module>)
      515    0.011    0.000    0.453    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
     2115    0.438    0.000    0.438    0.000 {built-in method nt.stat}
      513    0.001    0.000    0.431    0.001 <frozen importlib._bootstrap_external>:1499(find_spec)
      513    0.004    0.000    0.430    0.001 <frozen importlib._bootstrap_external>:1467(_get_spec)
     1951    0.003    0.000    0.422    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.403    0.201 debugger.py:1(<module>)
      507    0.004    0.000    0.392    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      660    0.014    0.000    0.388    0.001 <frozen importlib._bootstrap_external>:1607(find_spec)
        1    0.000    0.000    0.343    0.343 completer.py:1(<module>)
      507    0.322    0.001    0.322    0.001 {built-in method io.open_code}
1542/1527    0.035    0.000    0.289    0.000 {built-in method builtins.__build_class__}
       11    0.001    0.000    0.209    0.019 base.py:1(<module>)
        1    0.000    0.000    0.209    0.209 buffer.py:1(<module>)
        1    0.000    0.000    0.185    0.185 classes.py:1(<module>)
      716    0.002    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.154    0.154 crashhandler.py:1(<module>)
        1    0.000    0.000    0.148    0.148 ultratb.py:1(<module>)
      647    0.001    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
24762/24278    0.016    0.000    0.135    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.114    0.114 ipapp.py:1(<module>)
      506    0.001    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
  408/370    0.004    0.000    0.104    0.000 basedatatypes.py:4805(__setitem__)
       11    0.000    0.000    0.101    0.009 main.py:772(_plotCube)
     1470    0.006    0.000    0.099    0.000 basedatatypes.py:4335(_get_validator)
        2    0.000    0.000    0.093    0.046 _figure.py:766(update_layout)
        2    0.000    0.000    0.093    0.046 basedatatypes.py:1367(update_layout)
        2    0.000    0.000    0.093    0.046 basedatatypes.py:5104(update)
        1    0.000    0.000    0.092    0.092 imports.py:1(<module>)
        1    0.000    0.000    0.091    0.091 ansi.py:1(<module>)
     1470    0.002    0.000    0.089    0.000 validator_cache.py:8(get_validator)
      114    0.000    0.000    0.083    0.001 __init__.py:294(__getattr__)
        1    0.000    0.000    0.080    0.080 magic.py:1(<module>)
        4    0.000    0.000    0.079    0.020 defaults.py:1(<module>)
      506    0.003    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      383    0.003    0.000    0.077    0.000 __init__.py:272(_compile)
     12/4    0.000    0.000    0.076    0.019 basedatatypes.py:3846(_perform_update)
      506    0.074    0.000    0.074    0.000 {built-in method marshal.loads}
     3367    0.050    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
  442/282    0.003    0.000    0.073    0.000 basedatatypes.py:4667(__getitem__)
      218    0.000    0.000    0.073    0.000 __init__.py:225(compile)
